text,sentiment
Rahul Gandhi meeting leaders from Haryana who joined the Congress fold reposing faith with the party amp its leadership http,1
Leaders leaving CongressDue to stressOf seeing democracy being screwedBecause of dynastic politics brewedAll blame Ra,0
Rahul GANDHI YOUR BABS Not shown voting wt sister or Mom What s wrong GARMI,0
Rahul Gandhi met Prof Joshil Abraham of GB Pant Engineering College who is on hunger strike against corruption amp lack of infr,1
Hunger fast day at aiims rahul gandhi met joshil Sir,1
We the students of G B Pant Government Engineering College welcome the unconditional support of Rahul Gandhi,1
Rahul Gandhi met Prof Joshil Abraham of GB Pant Engineering College who is on hunger strike against corruption amp lack of infr,1
Sh Rahul Gandhi visited and understood all the problems from the Mr Joshil who was on his th day of hunger fast,1
Congress Vice President Rahul Gandhi will be in Patna on th April to mark yrs of the Champaran Satyagraha,1
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
Watch LIVE Rahul Gandhi speaking at the felicitation ceremony to mark the Centenary of the Champaran Satyagrahahttps t c,1
year old Rahul Gandhi is youth Go get a life man,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
Rahul Gandhi met Prof Joshil Abraham of GB Pant Engineering College who is on hunger strike against corruption amp lack of infr,1
sponsors Rahul Gandhi to a holiday abroad with an attempt to save another electoral debacle in Delhi,0
Rahul Gandhi confuses MCD with McD goes to the outlet and eats burger instead of voting,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
Congress combines Youth amp Eerience,1
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
Rahul Gandhi meeting leaders from Haryana who joined the Congress fold reposing faith with the party amp its leadership http,1
Hahaha He is not going any where Rahul Gandhi dil mein bastein hai Congressiyo ke u idiot,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
Watch LIVE Rahul Gandhi speaking at the felicitation ceremony to mark the Centenary of the Champaran Satyagrahahttps t c,1
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
Manmohan Singh was silent about corruption Rahul is silent about harassment of women in his party Congress culture,0
yeah And what else Delhi wants Twitter Rahul Gandhi making a mockery of himself again,0
Election for INC President will be held in between Sept to October Rahul Gandhi likely to be first choice https,1
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
It s gone viral Images of Rahul Gandhi and his friends at a pub These pictures have been released by former,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
Watch LIVE Rahul Gandhi speaking at the felicitation ceremony to mark the Centenary of the Champaran Satyagrahahttps t c,1
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
Hahaha He is not going any where Rahul Gandhi dil mein bastein hai Congressiyo ke u idiot,1
India needs to quickly counter China renaming Arunachal towns by changing the name of Beijing to Rahul Gandhi Nagar,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
Watch LIVE Rahul Gandhi speaking at the felicitation ceremony to mark the Centenary of the Champaran Satyagrahahttps t c,1
Arvinder Singh Lovely tells Rahul Kanwal why he quit Congress after years,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
Her biggest rival is France s version of Rahul Gandhi,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
Why do you want to target Rahul Gandhi again Is he in power Or are you too afraid to ask the ruling party,1
Rahul Gandhi enjoying with his Italian girl friend in a pub somewhere in Europe,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
An excellent reason why you should not vote for Rahul Gandhi s Congress,0
