text,sentiment
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,0
If BJP wins MCD again then it will be confirm that BJP has been succeeded in lowering the average Indian IQ to,0
The momentum gained after the BJP National Executive Committee Meeting at Bhubaneswar must be maintained till the grand ba,1
Auto wallahs gathered at the scene said Kejriwal should be locked up for days so that Modi can do his work,1
Heard many har core BJP supporters didnt go out for vote,0
Are you denying that the BJP has not controlled the Municipal Corporation of Delhi for the last years,0
If BJP wins MCD again then it will be confirm that BJP has been succeeded in lowering the average Indian IQ to,0
was top trend till lunch Now BJP wave and EVMs are among trending topics,1
Upper caste minds of the BJP can only ever use Dalits against Muslims because Dalits are like cannon fodder,0
A new confidence is invented called Confidence It is observed in post and now i,0
Been informed by PMO sources that AAI will begin a crore eansion of Guwahati airport terminal from October That s g,1
presidential elections Can a united Opposition spoil BJP s chances A primer to presidential poll,0
If BJP wins MCD again then it will be confirm that BJP has been succeeded in lowering the average Indian IQ to,0
rest assured political collaboration can never stand against political nationalism me b modi,0
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,0
If BJP wins MCD again then it will be confirm that BJP has been succeeded in lowering the average Indian IQ to,0
BJP will oust Left in Tripura Ram Madhav,1
for Good and Sensible Governance Delhi is tired of BJP led corrupt MCD and Tu Tu Mai Mai of Kejriwal ht,0
Appeal every voter in to vote for development,1
Shri Narendra Modi s mask of providing clean governance has now come off,1
BJP will oust Left in Tripura Ram Madhav,0
The momentum gained after the BJP National Executive Committee Meeting at Bhubaneswar must be maintained till the grand ba,1
BJP winning MCD Elections again What new would they do this time besides increasing corruption rate amp making Delhi Dirty,0
People I m talking to have no idea that the bjp has been running the MCD for years Voting bjp because bjp because bjp will,0
If BJP wins MCD again then it will be confirm that BJP has been succeeded in lowering the average Indian IQ to,0
Appeal every voter in to vote for development,1
V interesting article by Amb M Bhadrakumar Indian PM s visit n s supprt fr,1
Now kin of BJP leader batter a policeman in MP Happening frequently now in BJP by via,0
People who were so angry about the BJP turning JNU into a battlezone or about cow terrorists running riot Funny watching th,1
ties more visible under the Modi government Israeli Ambassador,1
BJP fought the on promise of Citywide door to door garbage collection amp waste segregation Public toil,1
Saffron goons with BJP MLA attack Agra police station to free of their arrested friends Wah Kya law amp order hai Yogi Raj,0
